subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Cylinders,6,6,,,815F Series 2,113386,Engine
Net Power,232,173.1,hp,kw,815F Series 2,113386,Engine
Gross Power,253,188.7,hp,kw,815F Series 2,113386,Engine
Displacement,537,8.8,cu in,L,815F Series 2,113386,Engine
Torque Rise,30,30,%,%,815F Series 2,113386,Engine
Bore,4.4,111.8,in,mm,815F Series 2,113386,Engine
Stroke,5.9,149.9,in,mm,815F Series 2,113386,Engine
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,815F Series 2,113386,Engine
Eec 80/1269,235,175.3,hp,kw,815F Series 2,113386,Engine
Sae J1349,232,173.1,hp,kw,815F Series 2,113386,Engine
Iso 3046-2,232,173.1,hp,kw,815F Series 2,113386,Engine
Iso 9249,235,175.3,hp,kw,815F Series 2,113386,Engine
Operating Weight,45765,20758.7,lb,kg,815F Series 2,113386,Operational
Forward - 1,3.9,6.3,mph,km/h,815F Series 2,113386,Transmission
Forward - 2,6.7,10.8,mph,km/h,815F Series 2,113386,Transmission
Forward - 3,11,17.8,mph,km/h,815F Series 2,113386,Transmission
Reverse - 1,4.4,7.1,mph,km/h,815F Series 2,113386,Transmission
Reverse - 2,7.6,12.3,mph,km/h,815F Series 2,113386,Transmission
Reverse - 3,12.2,19.7,mph,km/h,815F Series 2,113386,Transmission
Tips Per Row,12,12,,,815F Series 2,113386,Wheels
Outside Diameter,4.7,1.5,ft in,m,815F Series 2,113386,Wheels
Drum Diameter,3.4,1.1,ft in,m,815F Series 2,113386,Wheels
Drum Width,3.3,1,ft in,m,815F Series 2,113386,Wheels
Tips Per Wheel,60,60,,,815F Series 2,113386,Wheels
Relief Valve Setting,2255 psi,2255 psi,,,815F Series 2,113386,Hydraulic System
Front,Fixed,Fixed,,,815F Series 2,113386,Axles
Rear,Oscillating 12 degrees,Oscillating 12 degrees,,,815F Series 2,113386,Axles
Lift Cylinder Bore X Stroke,101.6 mm x 627 mm   3.99 in x 24.68 in,101.6 mm x 627 mm   3.99 in x 24.68 in,,,815F Series 2,113386,Hydraulic System
Tilt Cylinder Bore X Stroke (Option),101.6 mm x 167 mm   3.99 in x 6.6 in,101.6 mm x 167 mm   3.99 in x 6.6 in,,,815F Series 2,113386,Hydraulic System
Standards,Meet OSHA regulations,Meet OSHA regulations,,,815F Series 2,113386,Brakes
Cooling System,14.5,54.9,gal,L,815F Series 2,113386,Service Refill Capacities
Fuel Tank,117.8,446,gal,L,815F Series 2,113386,Service Refill Capacities
Crankcase,9,34.1,gal,L,815F Series 2,113386,Service Refill Capacities
Hydraulic Tank,23.2,87.9,gal,L,815F Series 2,113386,Service Refill Capacities
Transmission,13.2,50,gal,L,815F Series 2,113386,Service Refill Capacities
Differential - Final Drives - Front,17.1,64.8,gal,L,815F Series 2,113386,Service Refill Capacities
Differential - Final Drives - Rear,17.1,64.8,gal,L,815F Series 2,113386,Service Refill Capacities
Rops/Fops,Meet SAE and ISO standards,Meet SAE and ISO standards,,,815F Series 2,113386,Cab
Standards,Meet required sound standards,Meet required sound standards,,,815F Series 2,113386,Sound Performance
Blade Tip Angle - Total,59.2,59.2,degrees,degrees,815F Series 2,113386,Blades
Blade Tilt Angle - Right - Mechanical,6.5,6.5,degrees,degrees,815F Series 2,113386,Blades
Blade Tilt Angle - Left - Mechanical,5,5,degrees,degrees,815F Series 2,113386,Blades
Moldboard - Length,12,3.7,ft in,m,815F Series 2,113386,Blades
Height - Including Cutting Edge,2.9,0.9,ft in,m,815F Series 2,113386,Blades
Maximum Depth Of Cut,0.8,0.3,ft in,m,815F Series 2,113386,Blades
Maximum Lift Above Ground,2.7,0.9,ft in,m,815F Series 2,113386,Blades
Width - Over End Bits,12.3,3.8,ft in,m,815F Series 2,113386,Blades
Weight,44853,20345,lb,kg,815F Series 2,113386,Shipping Specifications
Height,11,3.4,ft in,m,815F Series 2,113386,Shipping Specifications
Width,12,3.7,ft in,m,815F Series 2,113386,Shipping Specifications
Depth,22.5,6.9,ft in,m,815F Series 2,113386,Shipping Specifications
Net Power,248,185,hp,kw,815K,113387,Engine
Displacement,427.8,7.1,cu in,L,815K,113387,Engine
Bore,4.1,104.2,in,mm,815K,113387,Engine
Stroke,5.3,134.7,in,mm,815K,113387,Engine
Emissions,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,Meets U.S. EPA Tier 4 Final/EU Stage IV emission standards or meets U.S. EPA Tier 3/EU Stage IIIA equivalent emission standards,,,815K,113387,Engine
Engine Model,Cat C7.1 ACERT: configured for two emissions options,Cat C7.1 ACERT: configured for two emissions options,,,815K,113387,Engine
Rated Power (Sae J1349) - Tier 4 Final/Stage Iv,248,185,hp,kw,815K,113387,Engine
Rated Power (Net Iso 9249) - Tier 4 Final/Stage Iv,248,185,hp,kw,815K,113387,Engine
Gross Power - Sae J1995 - Tier 3/Stage Iiia Equivalent,286,213.3,hp,kw,815K,113387,Engine
Rated Power (Net Iso 9249) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,815K,113387,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 4 Final/Stage Iv",899,1218.9,lb ft,Nm,815K,113387,Engine
Rated Power (Sae J1349) - Tier 3/Stage Iiia Equivalent,249,185.7,hp,kw,815K,113387,Engine
Gross Power - Sae J1995 - Tier 4 Final/Stage Iv,284,211.8,hp,kw,815K,113387,Engine
Gross Power - Iso 14396 - Tier 4 Final/Stage Iv,274,204.4,hp,kw,815K,113387,Engine
High Idle Speed,2270,2270,rpm,rpm,815K,113387,Engine
Low Idle Speed,800,800,rpm,rpm,815K,113387,Engine
Torque Rise - Tier 4 Final/Stage Iv,52%,52%,,,815K,113387,Engine
Gross Power - Iso 14396 - Tier 3/Stage Iiia Equivalent,275,205.1,hp,kw,815K,113387,Engine
Torque Rise - Tier 3/Stage Iiia Equivalent,26%,26%,,,815K,113387,Engine
"Maximum Net Torque - 1,400 Rpm - Tier 3/Stage Iiia Equivalent",749,1015.6,lb ft,Nm,815K,113387,Engine
