subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Emissions,U.S. EPA Tier 4 Final/EU Stage IV/Korea Tier 4,U.S. EPA Tier 4 Final/EU Stage IV/Korea Tier 4,,,973K Steel Mill,114087,Engine
Engine Model,Cat C9.3 ACERT,Cat C9.3 ACERT,,,973K Steel Mill,114087,Engine
Flywheel Power,275,205.1,hp,kw,973K Steel Mill,114087,Engine
Note (1),"Engine ratings at 1,800 rpm.","Engine ratings at 1,800 rpm.",,,973K Steel Mill,114087,Engine
Note (2),"No derating required up to 2164 m (7,200 ft) altitude.","No derating required up to 2164 m (7,200 ft) altitude.",,,973K Steel Mill,114087,Engine
Note (3),"All nonroad Tier 4 Final, Stage IV and Korea Tier 4 diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.","All nonroad Tier 4 Final, Stage IV and Korea Tier 4 diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.",,,973K Steel Mill,114087,Engine
Note (4),Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,,,973K Steel Mill,114087,Engine
Engine Power - Maximum - Iso 14396,306,228.2,hp,kw,973K Steel Mill,114087,Engine
Engine Power - Maximum - Sae J1995,310,231.2,hp,kw,973K Steel Mill,114087,Engine
Engine Power - Maximum - Iso 14396 (Din),310,231.2,hp,kw,973K Steel Mill,114087,Engine
Net Power (Rated) - Iso 9249/Sae J1349,275,205.1,hp,kw,973K Steel Mill,114087,Engine
Net Power (Rated) - Iso 9249/Sae J1349 (Din),278,207.4,hp,kw,973K Steel Mill,114087,Engine
Operating Weight,74293,33698.8,lb,kg,973K Steel Mill,114087,Operational
Note,Steel Mill weights are with new slag bucket.,Steel Mill weights are with new slag bucket.,,,973K Steel Mill,114087,Weights
Operating Weight - Steel Mill,74293,33698.8,lb,kg,973K Steel Mill,114087,Weights
Shipping Weight - Steel Mill,63097,28620.4,lb,kg,973K Steel Mill,114087,Weights
Capacity - General Purpose,4,3.1,yd3,m3,973K Steel Mill,114087,Buckets
Width - Slag,112,2844.8,in,mm,973K Steel Mill,114087,Buckets
Capacity - Slag,4,3.1,yd3,m3,973K Steel Mill,114087,Buckets
Cooling System,11.6,44,gal,L,973K Steel Mill,114087,Service Refill Capacities
Fuel Tank,101.5,384.3,gal,L,973K Steel Mill,114087,Service Refill Capacities
Def Tank,9.2,34.9,gal,L,973K Steel Mill,114087,Service Refill Capacities
Brakes,Brakes meet the standard ISO 10265:2008.,Brakes meet the standard ISO 10265:2008.,,,973K Steel Mill,114087,Standards
Rops,ROPS (Rollover Protective Structure) offered by Caterpillar for the machine meets ROPS criteria ISO 3471:2008.,ROPS (Rollover Protective Structure) offered by Caterpillar for the machine meets ROPS criteria ISO 3471:2008.,,,973K Steel Mill,114087,Standards
Fops,FOPS (Falling Object Protective Structure) meets ISO 3449-2005 Level II.,FOPS (Falling Object Protective Structure) meets ISO 3449-2005 Level II.,,,973K Steel Mill,114087,Standards
