subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Ripper Type,Parallelogram,Parallelogram,,,D4K2,112411,Ripper
Number Of Shanks,3,3,,,D4K2,112411,Ripper
Maximum Digging Depth,13.3,337.9,in,mm,D4K2,112411,Ripper
Maximum Reach - Ground Line,23.5,596.9,in,mm,D4K2,112411,Ripper
Maximum Ground Clearance Under Tip,17.6,447.1,in,mm,D4K2,112411,Ripper
Overall Width,67.3,1709.5,in,mm,D4K2,112411,Ripper
Height,6.5,165.1,in,mm,D4K2,112411,Ripper
Weight,1222,554.3,lb,kg,D4K2,112411,Ripper
Engine Make,Caterpillar,Caterpillar,,,D4K2,112411,Engine
Engine Model,C4.4 ACERT,C4.4 ACERT,,,D4K2,112411,Engine
Gross Power,92,68.7,hp,kw,D4K2,112411,Engine
Net Power,92,68.7,hp,kw,D4K2,112411,Engine
Power Measured @,2200,2200,rpm,rpm,D4K2,112411,Engine
Displacement,269,4.5,cu in,L,D4K2,112411,Engine
Bore,4.2,105,in,mm,D4K2,112411,Engine
Stroke,5,127,in,mm,D4K2,112411,Engine
Engine Model,Cat C4.4 ACERT,Cat C4.4 ACERT,,,D4K2,112411,Engine
Eec 80/1269,92,68.7,hp,kw,D4K2,112411,Engine
Sae J1349,92,68.7,hp,kw,D4K2,112411,Engine
Iso 9249,92,68.7,hp,kw,D4K2,112411,Engine
Power - Net,92,68.7,hp,kw,D4K2,112411,Engine
Drive Pumps,2,2,,,D4K2,112411,Transmission
Track Motors,2,2,,,D4K2,112411,Transmission
Relief Valve Settings,6918 psi,6918 psi,,,D4K2,112411,Transmission
Maximum Travel Speed - Forward,5.6,9.1,mph,km/h,D4K2,112411,Transmission
Maximum Travel Speed - Reverse,6.2,10,mph,km/h,D4K2,112411,Transmission
Operating Weight - Lgp,18761,8509.9,lb,kg,D4K2,112411,Weights
Operating Weight - Xl,18080,8201,lb,kg,D4K2,112411,Weights
Blade Width - Xl,109.5,2781.3,in,mm,D4K2,112411,Blade
Blade Width - Intermediate,115,2921,in,mm,D4K2,112411,Blade
Blade Width - Lgp,124,3149.6,in,mm,D4K2,112411,Blade
Blade Height - Xl,39.8,1011,in,mm,D4K2,112411,Blade
Blade Height - Intermediate,33.9,861.1,in,mm,D4K2,112411,Blade
Blade Height - Lgp,35.8,909.4,in,mm,D4K2,112411,Blade
Blade Capacity - Xl,2.6,2,yd3,m3,D4K2,112411,Blade
Blade Capacity - Intermediate,2,1.5,yd3,m3,D4K2,112411,Blade
Blade Capacity - Lgp,2.5,1.9,yd3,m3,D4K2,112411,Blade
Digging Depth - Xl,22.5,571.5,in,mm,D4K2,112411,Blade
Digging Depth - Intermediate,23.2,589.3,in,mm,D4K2,112411,Blade
Digging Depth - Lgp,23.2,589.3,in,mm,D4K2,112411,Blade
Cooling System,6,22.5,gal,L,D4K2,112411,Service Refill Capacities
Fuel Tank,51.5,195,gal,L,D4K2,112411,Service Refill Capacities
Final Drive - Each - Lgp,2.6,9.9,gal,L,D4K2,112411,Service Refill Capacities
Final Drive - Each - Xl,2.6,9.9,gal,L,D4K2,112411,Service Refill Capacities
Crankcase - With Filter,3,11.1,gal,L,D4K2,112411,Service Refill Capacities
Transmission - Hydraulic Tank,15.7,59.5,gal,L,D4K2,112411,Service Refill Capacities
Rops,"SAE J397-OCT95, SAE J1040-MAY94, ISO 3471-94, ISO 3164-95","SAE J397-OCT95, SAE J1040-MAY94, ISO 3471-94, ISO 3164-95",,,D4K2,112411,Standards
Fops,"SAE J231-JAN81, ISO 3449-92","SAE J231-JAN81, ISO 3449-92",,,D4K2,112411,Standards
Pump Output,19.4 gal/min,19.4 gal/min,,,D4K2,112411,Hydraulic Controls
Relief Valve Setting,2988 psi,2988 psi,,,D4K2,112411,Hydraulic Controls
Winch Drive,Hydrostatic,Hydrostatic,,,D4K2,112411,Winch
Control,Hydraulic,Hydraulic,,,D4K2,112411,Winch
Overall Width,29.2,741.7,in,mm,D4K2,112411,Winch
Drum Diameter,10,254,in,mm,D4K2,112411,Winch
Drum Width,10.8,274.4,in,mm,D4K2,112411,Winch
Rope Diameter - Recommended,0.7,16.1,in,mm,D4K2,112411,Winch
Weight,1345,610.1,lb,kg,D4K2,112411,Winch
Rope Diameter - Optional,0.8,19.1,in,mm,D4K2,112411,Winch
Speed,Variable,Variable,,,D4K2,112411,Winch
Winch Length,27.8,705.2,in,mm,D4K2,112411,Winch
Throat Clearance,6.8,171.5,in,mm,D4K2,112411,Winch
Drum Capacity - Recommended Cable,371,113.1,ft in,m,D4K2,112411,Winch
Drum Capacity - Optional Cable,256,78.1,ft in,m,D4K2,112411,Winch
Maximum Line Pull - Bare Drum,40000,18143.7,lb,kg,D4K2,112411,Winch
Maximum Line Pull - Full Drum,25000,11339.9,lb,kg,D4K2,112411,Winch
Maximum Line Speed - Bare Drum,131 ft/min,131 ft/min,,,D4K2,112411,Winch
Maximum Line Speed - Full Drum,207 ft/min,207 ft/min,,,D4K2,112411,Winch
Beam Cross Section,216  254 mm   8.5  10 in,216  254 mm   8.5  10 in,,,D6T,113592,Ripper
Number Of Pockets,3,3,,,D6T,113592,Ripper
Ripper Type,Fixed Parallelogram,Fixed Parallelogram,,,D6T,113592,Ripper
Overall Beam Width,87,2209.8,in,mm,D6T,113592,Ripper
Weight - Each Additional Shank,163,74,lb,kg,D6T,113592,Ripper
Maximum Penetration,19.7,500.4,in,mm,D6T,113592,Ripper
"Maximum Clearance Raised - Under Tip, Pinned In Bottom Hole",20.1,510.6,in,mm,D6T,113592,Ripper
Pry-Out Force,20137,9134,lb,kg,D6T,113592,Ripper
Weight - With One Shank,3606,1635.7,lb,kg,D6T,113592,Ripper
Maximum Penetration Force,14557,6603,lb,kg,D6T,113592,Ripper
Gross Power,213,158.9,hp,kw,D6T,113592,Engine
Displacement,537,8.8,cu in,L,D6T,113592,Engine
Bore,4.4,111.8,in,mm,D6T,113592,Engine
Stroke,5.9,149.9,in,mm,D6T,113592,Engine
