id,modelid,modelname,equipment_slug,engine_model
1,112411,D4K2,crawler-tractor,Cat C4.4 ACERT
2,113592,D6T,crawler-tractor,Cat C9 ACERT
3,113594,D6T (Tier 4 Final),crawler-tractor,Cat C9.3 ACERT
4,113595,D6T (Tier 4 Interim/Stage IIIB),crawler-tractor,Cat C9.3 ACERT
5,113596,D6R Series 3,crawler-tractor,Cat C9 ACERT
6,113588,D7E WH,crawler-tractor,Cat C9.3 ACERT
7,113591,D6N Tier 4 Interim/Stage IIIB,crawler-tractor,Cat C6.6 ACERT
8,113588,D7E WH,crawler-tractor,Cat C9.3 ACERT
9,113593,D6K2 (Tier 4 Interim/Stage IIIB),crawler-tractor,Cat C6.6 ACERT
10,113597,D6R Series III,crawler-tractor,Cat C9 ACERT
11,113598,D7R Series 2,crawler-tractor,Cat 3176C
12,113666,D5K,crawler-tractor,CAT C4.4 ACERT
13,113667,D3C XL Series III Hystat,crawler-tractor,Cat 3046
14,113576,D7E WH (Tier 4 Interim/Stage IIIB),crawler-tractor,Cat C9.3 ACERT
15,113577,D6T WH (New),crawler-tractor,Cat C9.3 ACERT
16,113578,D5M WH,crawler-tractor,Cat 3116 T
17,113580,D6N WH,crawler-tractor,Cat C7.1 ACERT
18,113668,D3K2 Tier 4 Final,crawler-tractor,Cat C4.4 ACERT
19,113669,D5C LGP Series III,crawler-tractor,Cat 3046
20,113670,D4K2 Tier 4 Final/Stage IV,crawler-tractor,Cat C4.4 ACERT
21,113671,D3K2 Shiphold / Port Handling,crawler-tractor,Cat C4.4 ACERT
22,113579,D6R WH,crawler-tractor,Cat 3306
23,113585,D8R Series II WH,crawler-tractor,Cat 3406C
24,113585,D8R Series II WH,crawler-tractor,Cat 3406C
25,113587,D6T WH (Tier 4 Interim/Stage IIIB),crawler-tractor,Cat C9.3 ACERT
26,113581,D6M WH,crawler-tractor,Cat 3116 T
27,113582,D6T WH,crawler-tractor,Cat C-9 ACERT
28,113583,D7R WH,crawler-tractor,Cat 3306
29,113584,D8T WH (Tier 4 Interim/Stage IIIB),crawler-tractor,Cat C15 ACERT
30,113672,D3K2,crawler-tractor,Cat C4.4 ACERT
31,113674,D4K,crawler-tractor,CAT C4.4 ACERT
32,113675,D5K2 Tier 4 Final/Stage IV,crawler-tractor,Cat C4.4 ACERT
33,113673,D3K,crawler-tractor,CAT C4.4 ACERT
34,113676,D5K2 Shiphold / Port Handling,crawler-tractor,Cat C4.4 ACERT
35,113677,D3C Series III Hystat,crawler-tractor,Cat 3046
36,113678,D3C LGP Series III Hystat,crawler-tractor,Cat 3046
37,113679,D3K2 Mulcher,crawler-tractor,Cat C4.4 ACERT
38,114645,D6,crawler-tractor,Cat C9.3B
39,114644,D6 XE,crawler-tractor,Cat C9.3B
40,109147,D5K2,crawler-tractor,Cat C4.4 ACERT
41,109151,D5K2 LGP,crawler-tractor,CAT C4.4 ACERT
42,109155,D6k2,crawler-tractor,C6.6 ACERT
43,108961,D3K2 XL,crawler-tractor,C4.4 ACERT
44,108859,D7E LGP Hybrid,crawler-tractor,C9.3 Acert
45,108858,D7E Hybrid,crawler-tractor,C9.3 Acert
46,104161,D4,crawler-tractor,NOTFOUND
47,103955,D6R LGP,crawler-tractor,3306
48,103954,D6R IG,crawler-tractor,3306
49,103953,D6R XR,crawler-tractor,3306 T
50,103909,D7R XR Series II,crawler-tractor,3176C
51,103908,D7R WH LGP Series II,crawler-tractor,3176C
52,103907,D7R WH Series II,crawler-tractor,3176C
53,103906,D7R LGP Series II,crawler-tractor,3176C
54,103905,D7R Series II,crawler-tractor,3176C
55,103904,D6R XW Series II,crawler-tractor,C9
56,103903,D6R XL Series II,crawler-tractor,3306T
57,103902,D6R LGP Series II,crawler-tractor,C9
58,103912,D7R LGP,crawler-tractor,3306T
59,103910,D7R,crawler-tractor,3306T
60,103759,D4B LGP,crawler-tractor,3204
61,103758,D4B,crawler-tractor,3204
62,103768,D6H LGP,crawler-tractor,3306
63,103757,D3B LGP-S,crawler-tractor,3204
64,103756,D5H LGP,crawler-tractor,3304
65,103755,D4H LGP,crawler-tractor,3204
66,103754,D7H,crawler-tractor,3306
67,90913,D6N,crawler-tractor,Cat C7.1 ACERT
68,90912,D5N,crawler-tractor,3126B DITAAC
69,90911,D5G,crawler-tractor,Cat 3046T
70,90910,D4G,crawler-tractor,Cat 3046
71,90909,D3G,crawler-tractor,Cat 3046T
72,90908,D9R,crawler-tractor,3408ETA
73,90907,D8R Series II,crawler-tractor,3406E TA
74,90905,D6R Series II,crawler-tractor,3306
75,90811,D4C LGP Series III,crawler-tractor,Cat 3046
76,90810,D4C XL Series III Hystat,crawler-tractor,Cat 3046
77,90809,D4C XL Series III,crawler-tractor,Cat 3046
78,90808,D4C Series III Hystat,crawler-tractor,Cat 3046
79,90807,D4C Series III,crawler-tractor,Cat 3046
80,90805,D3C LGP Series III,crawler-tractor,Cat 3046
81,90803,D3C XL Series III,crawler-tractor,Cat 3046
82,90801,D3C Series III,crawler-tractor,3046
83,90783,D6D,crawler-tractor,3306
84,90782,D11N,crawler-tractor,3508
85,90781,D10N,crawler-tractor,3412
86,90780,D9N,crawler-tractor,3408
87,90779,D8N,crawler-tractor,3406C
88,90816,D5C XL Series III Hystat,crawler-tractor,Cat 3046
89,90815,D5C XL Series III,crawler-tractor,Cat 3046
90,90814,D5C Series III Hystat,crawler-tractor,Cat 3046
91,90813,D5C Series III,crawler-tractor,Cat 3046
92,90812,D4C LGP Series III Hystat,crawler-tractor,Cat 3046
93,90820,D6R WHA,crawler-tractor,3306
94,90819,D5M LGP,crawler-tractor,3116T
95,90818,D5M XL,crawler-tractor,3116T
96,90817,D5C LGP Series III Hystat,crawler-tractor,Cat 3046
97,90787,D3C LGP-S Series II,crawler-tractor,3204
98,90786,D3C LGP Series II,crawler-tractor,3204
99,90785,D8L,crawler-tractor,3408
100,90784,D6E,crawler-tractor,3306
101,90796,D6H WDA Series II,crawler-tractor,3306
102,90795,D8L LGP,crawler-tractor,3408
103,90794,D7G LGP,crawler-tractor,3408
104,90793,D6D LGP,crawler-tractor,3306
105,90792,D7H LGP Series II,crawler-tractor,3306
106,90791,D6H LGP Series II,crawler-tractor,3306
107,90790,D5H LGP Series II,crawler-tractor,3304
108,90789,D4H LGP Series II,crawler-tractor,3204
109,90788,D4C LGP Series II,crawler-tractor,3204
110,90800,D9N WDA,crawler-tractor,3408
111,90799,D8N WDA,crawler-tractor,3406
112,90798,D8L WDA,crawler-tractor,3408
113,90797,D7H WDA Series II,crawler-tractor,3306
114,90553,D6T WH XL,crawler-tractor,C-9 ACERT
115,90552,D10T WH,crawler-tractor,Cat C27 ACERT
116,90551,D9T WH,crawler-tractor,Cat C18 ACERT
117,90550,D8T WH LGP,crawler-tractor,C15 ACERT
118,90549,D8T WH,crawler-tractor,Cat C15 ACERT
119,90544,D6N WH LGP,crawler-tractor,C6.6 ACERT
120,90530,D9T,crawler-tractor,C18 ACERT
121,90529,D8T,crawler-tractor,C15 ACERT
122,90525,D6T LGP VPAT,crawler-tractor,C9 ACERT
123,90524,D6T LGP S,crawler-tractor,C9 ACERT
