id,name,winningbid,metersread
1,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
2,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
3,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
4,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
5,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
6,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
7,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
8,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
9,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
10,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
11,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
12,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
13,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
14,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
15,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
16,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
17,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
18,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
19,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
20,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
21,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
22,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
23,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
24,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
25,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
26,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
27,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
28,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
29,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
30,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
31,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
32,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
33,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
34,2017 Cat D6T LGP Crawler Dozer,"US $279,000","3,695 Hours"
35,2017 Cat D6T LGP Crawler Dozer,"US $246,000","3,438 Hours"
36,2016 Cat AP1055F Track Asphalt Paver,"US $132,000","4,168 Hours"
37,2003 Cat D11R Crawler Dozer,"US $101,000","37,707 Hours"
38,2018 Cat 986K Wheel Loader,"US $425,000","6,887 Hours"
39,2013 Cat D8T Crawler Dozer,"US $291,000","4,388 Hours"
40,2011 Cat 420E 4x4 Backhoe Loader,"US $52,000","5,227 Hours"
41,2020 Cat 236D3 Skid Steer Loader,"US $20,000","6,314 Hours"
42,2017 Cat 242D Skid Steer Loader,"US $21,500","2,034 Hours"
43,2017 Cat 259D Two-Speed Compact Track Loader,"US $34,000",934 Hours
44,2015 Cat 226B3 Skid Steer Loader,"US $17,500","1,711 Hours"
45,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
46,2018 Cat 259D Two-Speed Compact Track Loader,"US $57,000",349 Hours
47,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
48,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
49,2005 Cat D4G XL Crawler Dozer,"US $29,000","6,143 Hours"
50,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
51,2012 Cat 246C Two-Speed Skid Steer Loader,"US $23,500","1,016 Hours"
52,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
53,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
54,2014 Cat 299D Two-Speed Compact Track Loader,"US $56,000",874 Hours
55,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
56,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
57,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",698 Hours
58,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $80,000",542 Hours
59,2012 Cat 246C Two-Speed Skid Steer Loader,"US $25,000",924 Hours
60,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
61,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
62,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
63,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
64,Cat 140G Motor Grader,"US $44,000",NONE
65,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
66,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
67,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
68,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
69,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
70,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
71,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
72,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
73,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
74,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
75,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
76,2004 Cat TH460B Telehandler,"US $31,000",NONE
77,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
78,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
79,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
80,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
81,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
82,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
83,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
84,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
85,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
86,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
87,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
88,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
89,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
90,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
91,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
92,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
93,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
94,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
95,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
96,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
97,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
98,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
99,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
100,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
101,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
102,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
103,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
104,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
105,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
106,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
107,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
108,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
109,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
110,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
111,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
112,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
113,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
114,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
115,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
116,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
117,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
118,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
119,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
120,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
121,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
122,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
123,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
124,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
125,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
126,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
127,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
128,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
129,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
130,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
131,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
132,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
133,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
134,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
135,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
136,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
137,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
138,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
139,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
140,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
141,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
142,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
143,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
144,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
145,2002 Cat 815F Soil Compactor,"US $131,000","22,201 Hours"
146,2003 Cat 623G Elevating Motor Scraper,"US $159,000","23,946 Hours"
147,2003 Cat 623G Elevating Motor Scraper,"US $153,000","22,782 Hours"
148,2015 Cat PL61 Pipelayer,"US $98,000",927 Hours
149,2005 Cat 615C Series II Motor Scraper,"US $96,000","3,685 Hours"
150,2019 Cat 730 Articulated Dump Truck,"US $366,000","3,008 Hours"
151,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
152,2017 Cat D8T Crawler Dozer,"US $505,000","2,435 Hours"
153,2017 Cat D8T Crawler Dozer,"US $545,000",916 Hours
