id,name,winningbid,metersread
1,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
2,2019 Cat 323 Tracked Excavator,"US $225,000","1,135 Hours"
3,2019 Cat 304E2 CR Mini Excavator,"US $41,000","1,099 Hours"
4,2008 Cat 305C Mini Excavator,"US $27,000","5,689 Hours"
5,2012 Cat 305E CR Mini Excavator,"US $30,500","3,430 Hours"
6,2018 Cat 303E CR Mini Excavator,"US $23,000",NONE
7,2015 Cat 308E2 CR Tracked Excavator,"US $55,000","1,275 Hours"
8,2011 Cat 320DL Tracked Excavator,"US $63,000","10,130 Hours"
9,2012 Cat 304E CR Mini Excavator,"US $32,500",NONE
10,2014 Cat 336ELH Track Excavator,"US $69,000","9,698 Hours"
11,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
12,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
13,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
14,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
15,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
16,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
17,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
18,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
19,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
20,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
21,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
22,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
23,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
24,2008 Cat 330DL Tracked Excavator,"US $49,000","12,231 Hours"
25,2005 Cat 330C L Tracked Excavator,"US $18,000","11,154 Hours"
26,2016 Cat 320FL Tracked Excavator,"US $80,000","5,020 Hours"
27,2017 Cat 305 E2 Mini Excavator,"US $43,000","2,345 Hours"
28,2015 Cat 304E2CR Mini Excavator,"US $38,000","2,359 Hours"
29,2018 Cat 315FL CR Tracked Excavator,"US $121,500","3,830 Hours"
30,2018 Cat 316FL Tracked Excavator,"US $135,000","2,826 Hours"
31,2022 Cat 323 Tracked Excavator,"US $192,000",827 Hours
32,2022 Cat 323 Tracked Excavator,"US $188,000","1,158 Hours"
33,2017 Cat 308E2 CR Tracked Excavator,"US $80,500","1,641 Hours"
34,2008 Cat 303C CR Mini Excavator,"US $16,500","7,499 Hours"
35,2019 Cat 308E2 CR Mini Excavator,"US $73,000","2,547 Hours"
36,2020 Cat 308 CR Tracked Excavator,"US $98,000",557 Hours
37,2012 Cat 308D CR Mini Excavator,"US $29,000","5,165 Hours"
38,2012 Cat 305.5 Mini Excavator,"US $52,000","1,151 Hours"
39,2017 Cat 305.5E2 Mini Excavator,"US $43,000","2,606 Hours"
40,2005 Cat 312C Tracked Excavator,"US $38,000","9,497 Hours"
41,2015 Cat 302.7DCR Mini Excavator,"US $18,200",NONE
42,2016 Cat 305.5 Mini Excavator,"US $25,500",NONE
43,2002 Cat 320CL Tracked Excavator,"US $36,000","7,141 Hours"
44,1994 Cat 320L Tracked Excavator,"US $12,400","24,468 Hours"
45,2016 Cat 305.5E2 CR Mini Excavator,"US $51,000","2,019 Hours"
46,2007 Cat 302.5C Mini Excavator,"US $16,000",NONE
47,2018 Cat 305.5E2CR Mini Excavator,"US $58,000",895 Hours
48,2016 Cat 305.5E2 CR Mini Excavator,"US $38,000","2,099 Hours"
49,1994 Cat 320L Tracked Excavator,"US $7,100","18,622 Hours"
50,2003 Cat 320CL Tracked Excavator,"US $52,000","13,384 Hours"
51,2015 Cat 308E2 CR Tracked Excavator,"US $43,500","4,451 Hours"
52,1994 Cat 325L Tracked Excavator,"US $10,300","12,724 Hours"
53,2013 Cat 303.5ECR Mini Excavator,"US $29,000","4,632 Hours"
54,2010 Cat 303C CR Mini Excavator,"US $24,500","3,636 Hours"
55,2019 Cat 308CR Mini Excavator,"US $71,000","2,520 Hours"
56,2012 Cat 308D Mini Excavator,"US $40,500","6,148 Hours"
57,2015 Cat 308E2CR Mini Excavator,"US $47,600","5,238 Hours"
58,2005 Cat 330CL Tracked Excavator,"US $22,000","11,286 Hours"
59,2007 Cat 303.5C CR Mini Excavator,"US $38,000",531 Hours
60,1994 Cat 320L Tracked Excavator,"US $12,800","14,170 Hours"
61,2001 Cat 303.5 Mini Excavator,"US $14,500",NONE
62,2018 Cat 302.7DCR Mini Excavator,"US $21,500","2,346 Hours"
63,2015 Cat 314ELCR Tracked Excavator,"US $75,500","4,226 Hours"
64,2008 Cat 303C Mini Excavator,"US $29,500","2,835 Hours"
65,2011 Cat 305.5D Mini Excavator,"US $25,500",178 Hours
66,2015 Cat 311FLRR Tracked Excavator,"US $61,500","1,347 Hours"
67,2016 Cat 305.5E2 Mini Excavator,"US $43,000","3,640 Hours"
68,2016 Cat 308E2 CR Tracked Excavator,"US $42,000","5,415 Hours"
69,2006 Cat 320D L Tracked Excavator,"US $23,100",NONE
70,2014 Cat 303.5 E CR Mini Excavator,"US $34,000",680 Hours
71,2019 Cat 303.5E2 Mini Excavator,"US $46,000",677 Hours
72,2008 Cat 304C CR Mini Excavator,"US $31,500","2,738 Hours"
73,2019 Cat 307.5 Tracked Excavator,"US $66,500","1,999 Hours"
74,2018 Cat 308E2 CR Mini Excavator,"US $63,000","2,151 Hours"
75,2014 Cat 303.5ECR Mini Excavator,"US $33,000",NONE
76,2017 Cat 308E2CR Mini Excavator,"US $63,000","2,867 Hours"
77,2019 Cat 315FLCR Tracked Excavator,"US $93,000","3,497 Hours"
78,2005 Cat 307C Tracked Excavator,"US $30,500","6,069 Hours"
79,Cat 308E2 CR Tracked Excavator,"US $58,000","5,658 Hours"
80,2007 Cat 305C CR Mini Excavator,"US $23,000","6,424 Hours"
81,2007 Cat 345 CL Tracked Excavator,"US $24,000",NONE
