id,model,type,winningbid,metersread,year
100,215,tracked,19000,9042,1985
108,225,tracked,13500,2778,1981
175,301.8,mini,25000,61,2019
9,303,mini,18500,4742,2005
117,303,mini,20500,2634,2005
62,303.5,mini,34000,680,2014
178,304,mini,11500,7919,2004
24,305,mini,43000,2345,2017
77,305,mini,34000,969,2016
35,305.5,mini,52000,1151,2012
86,306,mini,75000,482,2021
65,307.5,tracked,66500,1999,2019
72,307.5,tracked,90000,466,2021
33,308,tracked,98000,557,2020
87,308,tracked,62000,2690,2018
208,311,tracked,16500,21365,1995
168,312,tracked,16200,7069,1996
295,312,tracked,27500,23293,1994
172,320,tracked,60000,6850,2007
325,320,tracked,172500,2335,2019
329,320,tracked,122000,4522,2014
331,320,tracked,114000,2389,2021
346,320,tracked,140000,4315,2018
354,320,tracked,150000,2954,2018
355,320,tracked,135000,2148,2018
366,320,tracked,120000,1420,2019
2,323,tracked,225000,1135,2019
28,323,tracked,192000,827,2022
29,323,tracked,188000,1158,2022
214,323,tracked,94000,5135,2018
255,323,tracked,91000,5749,2018
109,325,tracked,38500,8008,1992
358,326,tracked,190000,1419,2019
362,330,tracked,180000,3286,2019
97,336,tracked,44000,7903,2014
302,336,tracked,57000,13537,2011
332,336,tracked,100000,6272,2015
342,336,tracked,210000,4547,2019
357,336,tracked,145000,5479,2019
361,336,tracked,300000,1391,2019
236,345,tracked,19500,20650,2007
364,349,tracked,396000,3325,2021
63,30350,mini,46000,677,2019
3,30400,mini,41000,1099,2019
129,30400,mini,53000,959,2020
163,30400,mini,43000,451,2021
99,30500,mini,59000,1002,2020
119,30500,mini,25500,2568,2017
171,30500,mini,42000,1901,2017
192,30500,mini,33000,1595,2015
371,30500,mini,75000,1051,2016
10,30550,mini,35000,1943,2017
36,30550,mini,43000,2606,2017
40,30550,mini,51000,2019,2016
42,30550,mini,38000,2099,2016
60,30550,mini,43000,3640,2016
71,30550,mini,61500,1510,2019
151,30550,mini,34000,3868,2018
200,30550,mini,38000,2368,2018
174,30700,tracked,64000,1161,2016
6,30800,tracked,55000,1275,2015
16,30800,tracked,51000,2537,2015
17,30800,mini,65000,1885,2016
30,30800,tracked,80500,1641,2017
32,30800,mini,73000,2547,2019
45,30800,tracked,43500,4451,2015
61,30800,tracked,42000,5415,2016
66,30800,mini,63000,2151,2018
78,30800,tracked,61000,2954,2017
96,30800,mini,63000,2835,2018
105,30800,mini,31000,6191,2016
114,30800,mini,48500,4265,2014
128,30800,tracked,75480,2639,2014
376,30800,tracked,68500,1470,2015
240,215c,tracked,1000,581,1988
305,225b,tracked,13000,16347,1988
256,235b,tracked,2000,9941,1987
101,235c,tracked,22000,14548,1990
107,235c,tracked,15500,7776,1992
118,235c,tracked,11000,29776,1990
247,235c,tracked,5000,19325,1989
267,235c,tracked,2200,23435,1992
190,235d,tracked,17500,2010,1993
314,300.9d,mini,16000,876,2017
317,300.9d,mini,15000,805,2015
191,301.4c,mini,13000,2464,2015
142,302.7d,mini,20000,4461,2013
196,302.7d,mini,20500,4149,2013
280,302.7d,mini,14000,5811,2015
281,302.7d,mini,13500,4987,2015
55,302.7dcr,mini,21500,2346,2018
89,302.7dcr,mini,16100,1912,2019
173,302.7dcr,mini,28500,902,2018
53,303.5c,mini,38000,531,2007
94,303.5d,mini,24500,0,2011
379,303.5d,mini,37500,1600,2011
90,303.5e,mini,41000,105,2015
241,303.5e2cr,mini,26000,2177,2017
47,303.5ecr,mini,29000,4632,2013
310,303.5ecr,mini,36250,319,2013
31,303c,mini,16500,7499,2008
48,303c,mini,24500,3636,2010
57,303c,mini,29500,2835,2008
246,303e,mini,39000,428,2021
288,303e,mini,26000,4200,2017
64,304c,mini,31500,2738,2008
193,304cr,mini,16000,5600,2004
220,304e,mini,20000,3300,2012
25,304e2cr,mini,38000,2359,2015
110,304e2cr,mini,62000,385,2021
115,304e2cr,mini,31000,3119,2018
131,304e2cr,mini,24750,2576,2017
150,304e2cr,mini,47000,1148,2017
161,304e2cr,mini,54000,694,2020
