subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Gross Power,hp,266,kw,198.4,970F,112954,Engine
Displacement,cu in,640.8,L,10.5,970F,112954,Engine
Aspiration,,Turbocharged,,Turbocharged,970F,112954,Engine
Bore,in,4.8,mm,120.7,970F,112954,Engine
Stroke,in,6,mm,152.4,970F,112954,Engine
Operating Weight,lb,51259.7,kg,23251,970F,112954,Operational
Fuel Capacity,gal,99.6,L,377,970F,112954,Operational
Hydraulic System Fluid Capacity,gal,54.2,L,205,970F,112954,Operational
Cooling System Fluid Capacity,gal,12,L,45.3,970F,112954,Operational
Transmission Fluid Capacity,gal,15.9,L,60,970F,112954,Operational
Front Axle/Diff Fluid Capacity,gal,12.5,L,47,970F,112954,Operational
Rear Axle/Diff Fluid Capacity,gal,12.5,L,47,970F,112954,Operational
Tire Size,,26.5-R25 XHA (L-3) radial,,26.5-R25 XHA (L-3) radial,970F,112954,Operational
Transmission Type,,Power shift,,Power shift,970F,112954,Transmission
Number Of Forward Gears,,4,,4,970F,112954,Transmission
Number Of Reverse Gears,,4,,4,970F,112954,Transmission
Max Speed - Forward,mph,23.2,km/h,37.4,970F,112954,Transmission
Max Speed - Reverse,mph,26.5,km/h,42.7,970F,112954,Transmission
Relief Valve Setting,,"20700 KPA,3000-Psi",,"20700 KPA,3000-Psi",970F,112954,Hydraulic System
Pump Flow Capacity,gal/min,98.9,L/min,374,970F,112954,Hydraulic System
Raise Time,sec,6.1,sec,6.1,970F,112954,Hydraulic System
Dump Time,sec,1.3,sec,1.3,970F,112954,Hydraulic System
Lower Time,sec,2.1,sec,2.1,970F,112954,Hydraulic System
Number Of Cylinders,,6,,6,928F,112950,Engine
Engine Model,,3116 T,,3116 T,928F,112950,Engine
Net Power,hp,120,kw,89.5,928F,112950,Engine
Gross Power,hp,128.1,kw,95.6,928F,112950,Engine
Power Measured @,rpm,2200,rpm,2200,928F,112950,Engine
Displacement,cu in,402.8,L,6.6,928F,112950,Engine
Aspiration,,Turbo Charged,,Turbo Charged,928F,112950,Engine
Bore,in,4.2,mm,105,928F,112950,Engine
Stroke,in,5,mm,127,928F,112950,Engine
Operating Weight,lb,24625.7,kg,11170,928F,112950,Operational
Shipping Weight - Empty,lb,23924.6,kg,10852,928F,112950,Operational
Fuel Capacity,gal,50,L,189,928F,112950,Operational
Hydraulic System Fluid Capacity,gal,26.5,L,100,928F,112950,Operational
Cooling System Fluid Capacity,gal,12.7,L,48,928F,112950,Operational
Transmission Fluid Capacity,gal,8,L,30,928F,112950,Operational
Front Axle/Diff Fluid Capacity,gal,6.9,L,26,928F,112950,Operational
Rear Axle/Diff Fluid Capacity,gal,6.7,L,25,928F,112950,Operational
Operating Voltage,V,24,V,24,928F,112950,Operational
Alternator Supplied Amperage,amps,50,amps,50,928F,112950,Operational
Tire Size,,15.5 and 20.5X25,,15.5 and 20.5X25,928F,112950,Operational
Transmission Type,,Power Shift,,Power Shift,928F,112950,Transmission
Number Of Forward Gears,,4,,4,928F,112950,Transmission
Number Of Reverse Gears,,3,,3,928F,112950,Transmission
Max Speed - Forward,mph,24.5,km/h,39.5,928F,112950,Transmission
Max Speed - Reverse,mph,13.1,km/h,21.1,928F,112950,Transmission
Relief Valve Setting,,"24800 KPA,3596-Psi",,"24800 KPA,3596-Psi",928F,112950,Hydraulic System
Pump Flow Capacity,gal/min,36.8,L/min,139,928F,112950,Hydraulic System
Raise Time,sec,6.2,sec,6.2,928F,112950,Hydraulic System
Dump Time,sec,1.1,sec,1.1,928F,112950,Hydraulic System
Lower Time,sec,2.3,sec,2.3,928F,112950,Hydraulic System
Net Power,hp,140,kw,104.4,938F,112948,Engine
Gross Power,hp,149,kw,111.2,938F,112948,Engine
Power Measured @,rpm,2200,rpm,2200,938F,112948,Engine
Displacement,cu in,402.8,L,6.6,938F,112948,Engine
Bore,in,4.2,mm,105,938F,112948,Engine
Stroke,in,5,mm,127,938F,112948,Engine
Operating Weight,lb,28726.3,kg,13030,938F,112948,Operational
Fuel Capacity,gal,55.5,L,210,938F,112948,Operational
Hydraulic System Fluid Capacity,gal,23.8,L,90,938F,112948,Operational
Cooling System Fluid Capacity,gal,12.7,L,48,938F,112948,Operational
Transmission Fluid Capacity,gal,8,L,30,938F,112948,Operational
Front Axle/Diff Fluid Capacity,gal,6.4,L,24,938F,112948,Operational
Rear Axle/Diff Fluid Capacity,gal,7.2,L,27,938F,112948,Operational
Operating Voltage,V,12,V,12,938F,112948,Operational
Alternator Supplied Amperage,amps,100,amps,100,938F,112948,Operational
Tire Size,,20.5-2.5 PR(L-2),,20.5-2.5 PR(L-2),938F,112948,Operational
Transmission Type,,Power Shift,,Power Shift,938F,112948,Transmission
Number Of Forward Gears,,4,,4,938F,112948,Transmission
Number Of Reverse Gears,,3,,3,938F,112948,Transmission
Max Speed - Forward,mph,23.6,km/h,38,938F,112948,Transmission
Max Speed - Reverse,mph,13.7,km/h,22.1,938F,112948,Transmission
Relief Valve Setting,,"24800 Kpa,3600Psi",,"24800 Kpa,3600Psi",938F,112948,Hydraulic System
Pump Flow Capacity,gal/min,43.1,L/min,163,938F,112948,Hydraulic System
Raise Time,sec,6,sec,6,938F,112948,Hydraulic System
Dump Time,sec,1.4,sec,1.4,938F,112948,Hydraulic System
Lower Time,sec,2.8,sec,2.8,938F,112948,Hydraulic System
Flywheel Horsepower,hp,143.5,kw,107,IT28G,112381,Engine
Tier Compliant,,Tier 2,,Tier 2,IT28G,112381,Engine
Power Measured @,rpm,2300,rpm,2300,IT28G,112381,Engine
Displacement,cu in,366.2,L,6,IT28G,112381,Engine
Bore,in,4,mm,100,IT28G,112381,Engine
Stroke,in,5,mm,127,IT28G,112381,Engine
Operating Weight,lb,26750.9,kg,12134,IT28G,112381,Operational
Fuel Capacity,gal,57.1,L,216,IT28G,112381,Operational
Hydraulic System Fluid Capacity,gal,33.1,L,125,IT28G,112381,Operational
Cooling System Fluid Capacity,gal,11.1,L,42,IT28G,112381,Operational
Transmission Fluid Capacity,gal,9.2,L,34.5,IT28G,112381,Operational
Front Axle/Diff Fluid Capacity,gal,6.9,L,26,IT28G,112381,Operational
Rear Axle/Diff Fluid Capacity,gal,6.7,L,25,IT28G,112381,Operational
Rear Axle Oscillation,degrees,11,degrees,11,IT28G,112381,Operational
Number Of Forward Gears,,4,,4,IT28G,112381,Transmission
Number Of Reverse Gears,,3,,3,IT28G,112381,Transmission
Max Speed - Forward,mph,37.7,km/h,60.7,IT28G,112381,Transmission
Max Speed - Reverse,mph,25.8,km/h,41.6,IT28G,112381,Transmission
Hydraulic System Tank,gal,18.5,L,70,IT28G,112381,Hydraulic System
Engine Make,,Caterpillar,,Caterpillar,988G,112410,Engine
Engine Model,,3456 EUI,,3456 EUI,988G,112410,Engine
Net Power,hp,475,kw,354.3,988G,112410,Engine
Gross Power,hp,520,kw,387.8,988G,112410,Engine
Displacement,cu in,964.2,L,15.9,988G,112410,Engine
Bore,in,5.6,mm,140,988G,112410,Engine
Stroke,in,6.8,mm,172,988G,112410,Engine
Engine Model,,Cat 3456 EUI,,Cat 3456 EUI,988G,112410,Engine
Operating Weight,lb,110634.6,kg,50183,988G,112410,Operational
Fuel Capacity,gal,179.4,L,679,988G,112410,Operational
Hydraulic System Fluid Capacity,gal,124.2,L,470,988G,112410,Operational
Cooling System Fluid Capacity,gal,27.3,L,103,988G,112410,Operational
Transmission Fluid Capacity,gal,18.5,L,70,988G,112410,Operational
Front Axle/Diff Fluid Capacity,gal,49.2,L,186,988G,112410,Operational
Rear Axle/Diff Fluid Capacity,gal,49.2,L,186,988G,112410,Operational
Transmission Type,,Powershift - Planetary,,Powershift - Planetary,988G,112410,Transmission
Number Of Forward Gears,,4,,4,988G,112410,Transmission
Number Of Reverse Gears,,3,,3,988G,112410,Transmission
Max Speed - Forward,mph,35.4,km/h,57,988G,112410,Transmission
Max Speed - Reverse,mph,23.5,km/h,37.9,988G,112410,Transmission
Forward - 1,mph,4.3,km/h,6.9,988G,112410,Transmission
Forward - 2,mph,7.7,km/h,12.3,988G,112410,Transmission
Forward - 3,mph,13.7,km/h,22,988G,112410,Transmission
Forward - 4,mph,24,km/h,38.6,988G,112410,Transmission
Reverse - 1,mph,5,km/h,8,988G,112410,Transmission
Reverse - 2,mph,8.8,km/h,14.1,988G,112410,Transmission
Minimum Turning Radius - Over Bucket,in,341.3,mm,8668.1,988G,112410,Steering
Reverse - 3,mph,15.6,km/h,25.2,988G,112410,Transmission
Maximum Bucket Capacity,yd3,9.2,m3,7.1,988G,112410,Buckets
Raise Time,sec,9.4,sec,9.4,988G,112410,Hydraulic System
Dump Time,sec,2.4,sec,2.4,988G,112410,Hydraulic System
Lower Time,sec,3.8,sec,3.8,988G,112410,Hydraulic System
Front,,Fixed,,Fixed,988G,112410,Axles
Rear,,Trunnion,,Trunnion,988G,112410,Axles
Oscillation Angle,,13  degrees,,13  degrees,988G,112410,Axles
Maximum Single-Wheel Rise And Fall,in,22.4,mm,568,988G,112410,Axles
Static Tipping Load - Full Turn,lb,60386,kg,27390.7,988G,112410,Operating Specifications
Dump Clearance,ft in,13.9,m,4.3,988G,112410,Operating Specifications
Breakout Force,lb,123300,kg,55928,988G,112410,Operating Specifications
Articulation Angle,degrees,43,degrees,43,988G,112410,Operating Specifications
Travel Speed,mph,24.8,km/h,40,988G,112410,Operating Specifications
Cooling System,gal,27.3,L,103.1,988G,112410,Service Refill Capacities
Fuel Tank,gal,179.4,L,679.2,988G,112410,Service Refill Capacities
Crankcase,gal,15.9,L,60,988G,112410,Service Refill Capacities
Hydraulic System - Including Tank,gal,124.2,L,470,988G,112410,Service Refill Capacities
Transmission,gal,18.5,L,70,988G,112410,Service Refill Capacities
Differential - Final Drives - Front,gal,49.2,L,186.1,988G,112410,Service Refill Capacities
Differential - Final Drives - Rear,gal,49.2,L,186.1,988G,112410,Service Refill Capacities
Hydraulic System - Tank Only,gal,70.6,L,267,988G,112410,Service Refill Capacities
Raise,,9.4 s,,9.4 s,988G,112410,Hydraulic Cycle Times
Dump,,2.4 s,,2.4 s,988G,112410,Hydraulic Cycle Times
Total Hydraulic Cycle Time,,15.6 s,,15.6 s,988G,112410,Hydraulic Cycle Times
Lower Float Down - Empty,,3.8 s,,3.8 s,988G,112410,Hydraulic Cycle Times
Net Power,hp,501,kw,373.6,988H Steel Mill Arrangement,113252,Engine
Gross Power,hp,555,kw,413.9,988H Steel Mill Arrangement,113252,Engine
Displacement,cu in,1104.5,L,18.1,988H Steel Mill Arrangement,113252,Engine
Bore,in,5.7,mm,144.8,988H Steel Mill Arrangement,113252,Engine
Stroke,in,7.2,mm,182.9,988H Steel Mill Arrangement,113252,Engine
Net Power - Iso 9249,hp,501,kw,373.6,988H Steel Mill Arrangement,113252,Engine
Engine Model,,Cat C18 ACERT,,Cat C18 ACERT,988H Steel Mill Arrangement,113252,Engine
Net Power - Iso 14396,hp,532,kw,396.8,988H Steel Mill Arrangement,113252,Engine
Gross Power - Iso 3046-2,hp,520,kw,387.8,988H Steel Mill Arrangement,113252,Engine
Net Power - Eec 80/1269,hp,501,kw,373.6,988H Steel Mill Arrangement,113252,Engine
Operating Weight,lb,128328,kg,58208.7,988H Steel Mill Arrangement,113252,Operational
Direct Drive - Forward 3,mph,13.6,km/h,21.9,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Reverse 3,mph,15.6,km/h,25.2,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Forward 4,mph,24,km/h,38.7,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Forward 2,mph,7.7,km/h,12.4,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Reverse 2,mph,8.8,km/h,14.2,988H Steel Mill Arrangement,113252,Transmission
